,Farm Name,Farmer,Altitude,Score,Rank,Year,Processing System,Variety,Overall,Aroma / Flavor,Acidity
0,Los Alpes ,Inversiones Valladarez Acevedo S.A ,1600 ,91.60,1 ,2023 ,Natural ,Geisha ,"Jasmine, Acacia, Apricot, Bilberry, Cherry, Cítricos, Coffee Blossom, Guava, Guayaba, Honeydew, Lemon, Mandarina, Melocoton, Melon, Vanilla ","Jasmine, Peach, Chocolate, Floral, Honey, Raspberry, Tropical Fruit, Bergamot, Berry, Black Tea, Blackberry, Clementine, Coconut, Cola, Complex fruit and floral, Fruit punch, Green Apple, Green Grape, Honeydew, Lemongrass, Lime, Nectarine, Orange, Passion Fruit, Pear, Peony, Rose, Stone Fruit, Strawberry, Sweet & Sugary, Tea Rose, Vanilla, Watermelon ","Bright, Complex, Crisp, Green Apple, Juicy, Lively, Malic Acid, Tangerine, Tartaric, Vibrant "
0,Los Suyates ,Leticia Milagros Gonzalez Morazan ,1550 ,89.85,NaN,2024 ,Natural ,Parainema ,"Clean, Dried Fruits, Overall Impactfull flavors, Whiskey ","Blueberry, Chocolate, Citrus, Molasses, Black Cherry, Apricot, Rum, Black Tea, Anise, Dark Chocolate, Strawberry, Cranberry, Red Apple, Whiskey, Cinnamon ","Acetic Acid, Apples, Balanced, Bright, Citric Acid, Elegant, Lime "
0,Libre ,"Coffee Libre S,A ",1650 ,89.80,NaN,2024 ,Natural ,Geisha ,"Overall Sweet , Clean and clear, Fruity, Juicy, Well fermented ","Lemongrass, Melon, Black Tea, Chocolate, Apricot, Passion Fruit, Citrus, Green Apple, Bergamot, Mango, Cherry, Brown Spice, Mandarin Orange, Jasmine, Floral, Lemon, Cinnamon, Grape, Berry, Brown Sugar ","Bright , Green Grapes , Malic Acid , Lemon candy, Lemon peel, Lime, Mandarin Orange "
0,Paraiso ,Taris Chenoa Acuña Jimenez ,1575 ,89.45,NaN,2024 ,Natural ,Geisha ,"Elegance & sweet, Elegant,  Floral, Juicy ","Floral, Brown Sugar, Syrupy, Black Tea, Molasses, Peach, Dark Chocolate, Orange, Dried Fruit, Juicy, Caramel, Blackberry ","Malic Acid , Bright, Citric, Lactic, Lime, Orange, Soft "
0,El Cambalache ,Abner Samuel Zavala González ,1450 ,88.90,5 ,2023 ,Natural ,Maracaturra ,"Black Currant, Blueberry, Brown Sugar, Bubble gum, Cherry, Chocolate,, Dried Dates, Golden Raisin, Guayaba, Maple Syrup, Prune, Vainilla, Watermelon, Winey ","Floral, Berry, Blackberry, Pineapple, Red Apple, Apricot, Blueberry, Caramel, Cherry, Cider, Dark Chocolate, Dried Fruit, Ginger, Grape, Hibiscus, Lime, Mango, Navel Orange, Passion Fruit, Peach, Raspberry, Red fruits, Red Grape, Rose Hips, White wine, Yogurt ","Blackberry, Bright, Complex, Concord Grape, Crisp, Lime "
0,El Porvenir ,Sergio Noe Ortez ,1700 ,89.35,NaN,2024 ,Lavado ,Pacamara ,"Bright, Consistant, High acidity ","Lemon, Floral, Caramel, Citrus, Umami, Green Apple,  Dark Chocolate, Dried Dates, Cranberry, Red Apple, Chocolate, Sweet, Black Tea, Plum ","Bright , Malic Acid , Citric ,Brillant, Grapefruit,Phosphoric "
0,Buenos Aires ,Inversiones Valladarez Acevedo S.A ,1450 ,89.35,NaN,2024 ,Natural ,Maracaturra ,"Elegance, Keep, Overall Sweet, Sweet and juicy ","Pineapple, Grape, Chocolate, Peach, Balanced, Citrus, Melon, Blueberry, Plum, Floral, Lemon, Apricot, Strawberry, Dried Fruit, Brown Spice, Honey, Juicy, Butter ","Bright , Citric Acid , Malic Acid , Apple, Berry, Blackberry, Brillant, Cherry, Complex "
0,Jesús Mountain Coffee Company ,Jesús Mountain Coffee Company ,"900 to 1,450 meters ",88.76,8 ,2022 ,Washed ,Pacamara ,"Floral, Mouth Drying, Peach, Sweet Aromatics ","Mandarin Orange , Peach , Brown Sugar , Caramel , Cherry , Chocolate , Floral , Berry, Bittersweet Chocolate, Black Currant, Blueberry, Butter, Citrus Fruit, Cocoa Powder, Dried Fig, Guava, Herbal, Juicy, Kiwi, Kumquat, Lemon, Lychee, Milk Chocolate, Orange Blossom, Pineapple, Plum, Red berry, Red Currant, Squash, Stone Fruit, Sweet, Sweet and citric, Sweet herb, Tangerine, White Grape, Yellow fruit ","Bright , Citric Acid , Plum , Citrus Fruit, Crisp, Juicy, Lemon & Lime, Mandarin Orange "
0,La Furiosa ,"Coffee Libre S,A ",1630 ,88.70,NaN,2024 ,Lavado ,Etiope ,"Great classic Nicaraguan profile, Clean, Elegant, Soft ","Hazelnut, Raisin, Peach, Caramel, Citrus, Plum, Chocolate, Green Apple, Juicy, Dried Dates, Nut, Brown Sugar, Black Tea, Floral ","Bright , Delicate , Tropical Fruits , Malic Acid, Mandarin Orange, Tartaric "
0,El Guacalito ,Edwin David Zuniga Zelaya ,1350 ,88.45,NaN,2024 ,Natural ,Africano ,"Clean, Elegant, Sweet ","Molasses, Brown Sugar, Stone Fruit,  Vanilla, Chocolate, Peach, Apricot, Floral, Black Tea ","Citric Acid , Malic Acid , Balanced, Complex, Tartaric, Tropical Fruit "
